date;home_team;away_team;home_score;away_score;competition;stadium;city;country;neutral;world_cup;season;avg_temp_c;min_temp_c;max_temp_c;precipitation_mm;snow_depth_mm;avg_wind_dir_deg;avg_wind_speed_kmh;peak_wind_gust_kmh;avg_sea_level_pres_hpa
2020-11-07;Australia;New Zealand;24;22;2020 Tri Nations Series;Lang Park;Brisbane;Australia;FALSE;FALSE;Spring;;17.0;27.1;0.0;;;;;
2020-10-31;Wales;Scotland;10;14;2020 Six Nations Championship;Parc y Scarlets;Llanelli;Wales;FALSE;FALSE;;;;;;;;;;
2020-10-31;France;Ireland;35;27;2020 Six Nations Championship;Stade de France;Saint-Denis;France;FALSE;FALSE;Autumn;14.1;9.0;18.0;0.2;;191.0;13.9;42.0;1019.7
2020-10-31;Italy;England;5;34;2020 Six Nations Championship;Stadio Olimpico;Rome;Italy;FALSE;FALSE;Autumn;14.2;8.6;20.0;0.3;;33.0;5.5;;1023.9
2020-10-31;Australia;New Zealand;5;43;2020 Tri Nations Series;Stadium Australia;Sydney;Australia;FALSE;FALSE;Spring;16.6;16.7;21.2;3.2;;136.0;23.5;;1008.9
2020-10-24;Ireland;Italy;50;17;2020 Six Nations Championship;Aviva Stadium;Dublin;Ireland;FALSE;FALSE;Autumn;10.1;7.5;11.8;0.0;;200.0;20.7;68.0;990.6
2020-10-24;France;Wales;38;21;2020 Autumn International;Stade de France;Paris;France;FALSE;FALSE;Autumn;13.7;11.0;15.8;2.8;;202.0;21.5;55.0;1013.8
2020-10-18;New Zealand;Australia;27;7;2020 Autumn International;Eden Park;Auckland;New Zealand;FALSE;FALSE;Spring;15.8;6.7;18.5;1.5;;124.0;7.8;;1019.1
2020-10-11;New Zealand;Australia;16;16;2020 Autumn International;Wellington Regional Stadium;Wellington;New Zealand;FALSE;FALSE;Spring;14.4;12.4;17.9;17.8;;0.0;34.1;;1025.2
2020-03-08;Scotland;France;28;17;2020 Six Nations Championship;Murrayfield;Edinburgh;Scotland;FALSE;FALSE;Spring;7.2;2.9;10.9;0.5;;247.0;29.9;65.0;991.3
2020-03-07;England;Wales;33;30;2020 Six Nations Championship;Twickenham;London;England;FALSE;FALSE;Spring;7.8;1.8;12.7;0.0;;219.0;18.8;57.0;1015.0
2020-02-23;England;Ireland;24;12;2020 Six Nations Championship;Twickenham;London;England;FALSE;FALSE;Winter;11.0;7.9;14.1;0.5;;258.0;27.1;74.0;1017.0
2020-02-22;Wales;France;23;27;2020 Six Nations Championship;Millennium Stadium;Cardiff;Wales;FALSE;FALSE;;;;;;;;;;
2020-02-22;Italy;Scotland;0;17;2020 Six Nations Championship;Stadio Olimpico;Rome;Italy;FALSE;FALSE;Winter;10.4;4.1;16.4;0.0;;0.0;6.4;;1029.7
2020-02-09;France;Italy;35;22;2020 Six Nations Championship;Stade de France;Saint-Denis;France;FALSE;FALSE;Winter;10.3;6.9;13.9;2.8;;211.0;33.9;100.0;1012.8
2020-02-08;Scotland;England;6;13;2020 Six Nations Championship;Murrayfield Stadium;Edinburgh;Scotland;FALSE;FALSE;Winter;6.7;3.9;8.4;0.5;;214.0;35.8;85.0;996.8
2020-02-08;Ireland;Wales;24;14;2020 Six Nations Championship;Aviva Stadium;Dublin;Ireland;FALSE;FALSE;Winter;7.1;4.1;11.8;33.1;;210.0;31.7;83.0;1001.2
2020-02-02;France;England;24;17;2020 Six Nations Championship;Stade de France;Saint-Denis;France;FALSE;FALSE;Winter;13.0;11.0;15.7;11.7;;230.0;19.9;46.3;1014.5
2020-02-01;Ireland;Scotland;19;12;2020 Six Nations Championship;Aviva Stadium;Dublin;Ireland;FALSE;FALSE;Winter;7.9;7.5;10.9;2.7;;242.0;24.5;68.5;998.8
2020-02-01;Wales;Italy;42;0;2020 Six Nations;Millennium Stadium;Cardiff;Wales;FALSE;FALSE;;;;;;;;;;
2019-11-02;England;South Africa;12;32;2019 Rugby World Cup Final;International Stadium Yokohama;Yokohama;Japan;TRUE;TRUE;;;;;;;;;;
2019-11-01;New Zealand;Wales;40;17;2019 Rugby World Cup Bronze Final;Tokyo Stadium;Tokyo;Japan;TRUE;TRUE;Autumn;17.2;12.2;23.9;0.0;;298.0;7.2;;1015.2
2019-10-27;Wales;South Africa;16;19;2019 Rugby World Cup Semi-final;International Stadium Yokohama;Yokohama;Japan;TRUE;TRUE;;;;;;;;;;
2019-10-26;England;New Zealand;19;7;2019 Rugby World Cup Semi-final;Nissan Stadium;Yokohama;Japan;TRUE;TRUE;;;;;;;;;;
2019-10-20;Wales;France;20;19;2019 Rugby World Cup Quarter-finals;Ōita Stadium;Ōita;Japan;TRUE;TRUE;Autumn;19.6;15.6;24.2;0.0;;;;;
2019-10-19;New Zealand;Ireland;46;14;2019 Rugby World Cup Quarter-final;Tokyo Stadium;Tokyo;Japan;TRUE;TRUE;Autumn;18.5;14.6;20.2;56.9;;336.0;8.9;;1016.9
2019-10-19;England;Australia;40;16;2019 Rugby World Cup Quarter-final;Ōita Stadium;Ōita;Japan;TRUE;TRUE;Autumn;20.4;;24.4;15.5;;;;;
2019-10-05;England;Argentina;39;10;2019 Rugby World Cup Pool match;Tokyo Stadium;Tokyo;Japan;TRUE;TRUE;Autumn;25.2;21.9;30.3;0.0;;281.0;12.4;;1008.5
2019-10-04;South Africa;Italy;49;3;2019 Rugby World Cup;Shizuoka Stadium Ecopa;Fukuroi;Japan;TRUE;TRUE;;;;;;;;;;
2019-09-29;Australia;Wales;25;29;2019 Rugby World Cup Pool match;Tokyo Stadium;Tokyo;Japan;TRUE;TRUE;Autumn;24.9;22.4;27.7;0.0;;181.0;9.1;;1016.1
2019-09-22;Ireland;Scotland;27;3;2019 Rugby World Cup;International Stadium Yokohama;Yokohama;Japan;TRUE;TRUE;;;;;;;;;;
